2018-12-07 14:43:14 61832 [pool-1-thread-1] ERROR c.e.s.c.RedisCacheController - 用户信息:User{id=1, username='aa', password='dd', Salt='ee'}
2018-12-07 14:43:21 69275 [pool-1-thread-1] ERROR c.e.s.c.RedisCacheController - 用户信息:User{id=1, username='aa', password='dd', Salt='ee'}
2018-12-07 14:43:21 69283 [pool-1-thread-9] ERROR c.e.s.c.RedisCacheController - 用户信息:User{id=1, username='aa', password='dd', Salt='ee'}
2018-12-07 14:43:22 69299 [pool-1-thread-10] ERROR c.e.s.c.RedisCacheController - 用户信息:User{id=1, username='aa', password='dd', Salt='ee'}
2018-12-07 14:43:22 69304 [pool-1-thread-3] ERROR c.e.s.c.RedisCacheController - 用户信息:User{id=1, username='aa', password='dd', Salt='ee'}
2018-12-07 14:43:22 69305 [pool-1-thread-2] ERROR c.e.s.c.RedisCacheController - 用户信息:User{id=1, username='aa', password='dd', Salt='ee'}
2018-12-07 14:43:22 69309 [pool-1-thread-6] ERROR c.e.s.c.RedisCacheController - 用户信息:User{id=1, username='aa', password='dd', Salt='ee'}
2018-12-07 14:43:22 69310 [pool-1-thread-4] ERROR c.e.s.c.RedisCacheController - 用户信息:User{id=1, username='aa', password='dd', Salt='ee'}
2018-12-07 14:43:22 69314 [pool-1-thread-7] ERROR c.e.s.c.RedisCacheController - 用户信息:User{id=1, username='aa', password='dd', Salt='ee'}
2018-12-07 14:43:22 69315 [pool-1-thread-5] ERROR c.e.s.c.RedisCacheController - 用户信息:User{id=1, username='aa', password='dd', Salt='ee'}
2018-12-07 14:43:22 69321 [pool-1-thread-8] ERROR c.e.s.c.RedisCacheController - 用户信息:User{id=1, username='aa', password='dd', Salt='ee'}
2018-12-07 14:43:43 90912 [pool-1-thread-5] ERROR c.e.s.c.RedisCacheController - 用户信息:User{id=1, username='aa', password='dd', Salt='ee'}
2018-12-07 14:43:43 90932 [pool-1-thread-9] ERROR c.e.s.c.RedisCacheController - 用户信息:User{id=1, username='aa', password='dd', Salt='ee'}
2018-12-07 14:43:43 90933 [pool-1-thread-11] ERROR c.e.s.c.RedisCacheController - 用户信息:User{id=1, username='aa', password='dd', Salt='ee'}
2018-12-07 14:43:43 90934 [pool-1-thread-8] ERROR c.e.s.c.RedisCacheController - 用户信息:User{id=1, username='aa', password='dd', Salt='ee'}
2018-12-07 14:43:43 91023 [pool-1-thread-18] ERROR c.e.s.c.RedisCacheController - 用户信息:User{id=1, username='aa', password='dd', Salt='ee'}
2018-12-07 14:43:43 91024 [pool-1-thread-27] ERROR c.e.s.c.RedisCacheController - 用户信息:User{id=1, username='aa', password='dd', Salt='ee'}
2018-12-07 14:43:43 91024 [pool-1-thread-16] ERROR c.e.s.c.RedisCacheController - 用户信息:User{id=1, username='aa', password='dd', Salt='ee'}
2018-12-07 14:43:43 91025 [pool-1-thread-14] ERROR c.e.s.c.RedisCacheController - 用户信息:User{id=1, username='aa', password='dd', Salt='ee'}
2018-12-07 14:43:43 91026 [pool-1-thread-4] ERROR c.e.s.c.RedisCacheController - 用户信息:User{id=1, username='aa', password='dd', Salt='ee'}
2018-12-07 14:43:43 91026 [pool-1-thread-6] ERROR c.e.s.c.RedisCacheController - 用户信息:User{id=1, username='aa', password='dd', Salt='ee'}
2018-12-07 14:43:43 91029 [pool-1-thread-15] ERROR c.e.s.c.RedisCacheController - 用户信息:User{id=1, username='aa', password='dd', Salt='ee'}
2018-12-07 14:43:43 91029 [pool-1-thread-1] ERROR c.e.s.c.RedisCacheController - 用户信息:User{id=1, username='aa', password='dd', Salt='ee'}
2018-12-07 14:43:43 91034 [pool-1-thread-10] ERROR c.e.s.c.RedisCacheController - 用户信息:User{id=1, username='aa', password='dd', Salt='ee'}
2018-12-07 14:43:43 91047 [pool-1-thread-13] ERROR c.e.s.c.RedisCacheController - 用户信息:User{id=1, username='aa', password='dd', Salt='ee'}
2018-12-07 14:43:43 91050 [pool-1-thread-96] ERROR c.e.s.c.RedisCacheController - 用户信息:User{id=1, username='aa', password='dd', Salt='ee'}
2018-12-07 14:43:43 91050 [pool-1-thread-66] ERROR c.e.s.c.RedisCacheController - 用户信息:User{id=1, username='aa', password='dd', Salt='ee'}
2018-12-07 14:43:43 91055 [pool-1-thread-63] ERROR c.e.s.c.RedisCacheController - 用户信息:User{id=1, username='aa', password='dd', Salt='ee'}
2018-12-07 14:43:43 91056 [pool-1-thread-95] ERROR c.e.s.c.RedisCacheController - 用户信息:User{id=1, username='aa', password='dd', Salt='ee'}
2018-12-07 14:43:43 91064 [pool-1-thread-48] ERROR c.e.s.c.RedisCacheController - 用户信息:User{id=1, username='aa', password='dd', Salt='ee'}
2018-12-07 14:43:43 91064 [pool-1-thread-51] ERROR c.e.s.c.RedisCacheController - 用户信息:User{id=1, username='aa', password='dd', Salt='ee'}
2018-12-07 14:43:43 91073 [pool-1-thread-47] ERROR c.e.s.c.RedisCacheController - 用户信息:User{id=1, username='aa', password='dd', Salt='ee'}
2018-12-07 14:43:43 91075 [pool-1-thread-46] ERROR c.e.s.c.RedisCacheController - 用户信息:User{id=1, username='aa', password='dd', Salt='ee'}
